sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_search_et","__mv_api_lt","__mv_search_lt"
"rt_md_1684499024.9","| metadata type=sourcetypes | search totalCount > 0",83ab9769e42e,"1684499024.976140",1,"UI:Search",0,1684499025,0,0,canceled,"9.899000000000001",,,,,,,,,,,,,,,,,,,,
"rt_md_1684499026.10","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1684499026.579695",1,"UI:Search",0,1684499027,0,0,canceled,"8.69",,,,,,,,,,,,,,,,,,,,
"rt_md_1684499026.11","| metadata type=sourcetypes | search totalCount > 0 | table sourcetype totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1684499026.585966",1,"UI:Search",0,1684499027,0,0,canceled,"8.601",,,,,,,,,,,,,,,,,,,,
"1684499035.13","search source=""/var/log/suricata/eve.json""",83ab9769e42e,"1684499035.133133",0,"UI:Search",2132,1684499035,1000,2132,completed,"0.9400000000000001","1684411200.000000000","1684411200.000000000","1684499035.000000000","1684499035.000000000",,,,,,,,,,,,,,,,
"1684499143.14","| loadjob 1684499035.13 events=true require_finished=false | cluster t=0.9 labelonly=true labelfield=_patterns match=termset | findkeywords labelfield=_patterns dedup=true",83ab9769e42e,"1684499143.121309",0,"UI:Search",1729,1684499143,100,0,completed,"1.103","1684411200.000000000","1684411200.000000000","1684499143.000000000","1684499143.000000000",,,,,,,,,,,,,,,,
"1684499161.16","search source=""/var/log/suricata/eve.json"" date_wday=friday",83ab9769e42e,"1684499161.077123",0,"UI:Search",2288,1684499161,1000,2288,completed,"0.737","1684411200.000000000","1684411200.000000000","1684499161.000000000","1684499161.000000000",,,,,,,,,,,,,,,,
"1684499217.30","search source=""/var/log/suricata/eve.json"" date_wday=""wednesday""",83ab9769e42e,"1684499217.189233",0,"UI:Search",0,1684499217,0,0,completed,"0.191","1684411200.000000000","1684411200.000000000","1684499217.000000000","1684499217.000000000",,,,,,,,,,,,,,,,
"1684499222.31","search source=""/var/log/suricata/eve.json"" date_wday=""wednesday""",83ab9769e42e,"1684499222.585847",0,"UI:Search",0,1684499222,0,0,completed,"0.185","1684411200.000000000","1684411200.000000000","1684499222.000000000","1684499222.000000000",,,,,,,,,,,,,,,,
"rt_md_1685696533.3","| metadata type=sourcetypes | search totalCount > 0",83ab9769e42e,"1685696533.335783",1,"UI:Search",0,1685696533,0,0,canceled,"18.521",,,,,,,,,,,,,,,,,,,,
"1685696539.4","| history | search NOT search=""| history*"" AND NOT search=""*metadata*"" AND NOT search=""*loadjob*"" AND NOT savedsearch_name=""*"" AND NOT search=""search"" AND NOT search=""*from sid*"" AND NOT search=""| eventcount summarize=false index=* index=_**"" AND NOT provenance=""UI:LocateData"" AND NOT provenance=""UI:TableEditor"" AND NOT provenance=""UI:DataModel"" AND NOT provenance=""UI:Pivot"" AND NOT provenance=""UI:Dataset"" | dedup search | head 100000",83ab9769e42e,"1685696539.134844",0,"UI:Search",0,1685696539,28,0,completed,"0.353",,,,,,,,,,,,,,,,,,,,
"rt_md_1685696543.7","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1685696543.371591",1,"UI:Search",0,1685696545,0,0,canceled,"7.539000000000001",,,,,,,,,,,,,,,,,,,,
"1685696552.9","search host=83ab9769e42e",83ab9769e42e,"1685696552.583656",0,"UI:Search",11913,1685696553,1000,11913,completed,"6.8580000000000005","1685610000.000000000","1685610000.000000000","1685696552.000000000","1685696552.000000000",,,,,,,,,,,,,,,,
"rt_md_1685696626.10","| metadata type=sourcetypes | search totalCount > 0",83ab9769e42e,"1685696626.185575",1,"UI:Search",0,1685696626,0,0,canceled,"14.482000000000001",,,,,,,,,,,,,,,,,,,,
"rt_md_1685696628.13","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1685696628.846458",1,"UI:Search",0,1685696629,0,0,canceled,"11.916",,,,,,,,,,,,,,,,,,,,
"1685696640.14","search source=""/var/log/suricata/eve.json""",83ab9769e42e,"1685696640.712990",0,"UI:Search",966,1685696641,966,966,completed,"1.976","1685610000.000000000","1685610000.000000000","1685696640.000000000","1685696640.000000000",,,,,,,,,,,,,,,,
"1685696671.15","search source=""/var/log/suricata/eve.json"" dest_port=8000",83ab9769e42e,"1685696671.044415",0,"UI:Search",336,1685696671,336,448,completed,"1.414","1685610000.000000000","1685610000.000000000","1685696671.000000000","1685696671.000000000",,,,,,,,,,,,,,,,
"1685696676.16","search source=""/var/log/suricata/eve.json"" dest_port=22",83ab9769e42e,"1685696676.319710",0,"UI:Search",4,1685696676,4,109,completed,"2.446","1685610000.000000000","1685610000.000000000","1685696676.000000000","1685696676.000000000",,,,,,,,,,,,,,,,
"rt_md_1685708241.4","| metadata type=sourcetypes | search totalCount > 0",83ab9769e42e,"1685708241.584478",1,"UI:Search",0,1685708241,0,0,canceled,"9.302",,,,,,,,,,,,,,,,,,,,
"rt_md_1685708244.6","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1685708244.024423",1,"UI:Search",0,1685708244,0,0,canceled,"6.415",,,,,,,,,,,,,,,,,,,,
"1685708250.8","search source=""/var/log/suricata/eve.json""",83ab9769e42e,"1685708250.738734",0,"UI:Search",3127,1685708251,1518,3127,completed,"2.49","1685620800.000000000","1685620800.000000000","1685708250.000000000","1685708250.000000000",,,,,,,,,,,,,,,,
"rt_md_1686062014.3","| metadata type=sourcetypes | search totalCount > 0",83ab9769e42e,"1686062014.913214",1,"UI:Search",0,1686062015,0,0,canceled,"56.457",,,,,,,,,,,,,,,,,,,,
"rt_md_1686062063.5","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1686062063.185848",1,"UI:Search",0,1686062063,0,0,canceled,"7.585",,,,,,,,,,,,,,,,,,,,
"rt_md_1686062063.6","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")",83ab9769e42e,"1686062063.187780",1,"UI:Search",0,1686062063,0,0,canceled,"8.697000000000001",,,,,,,,,,,,,,,,,,,,
"1686062071.7","search source=""/var/log/suricata/eve.json""",83ab9769e42e,"1686062071.112653",0,"UI:Search",8419,1686062072,1000,8419,completed,"4.553","1685973600.000000000","1685973600.000000000","1686062071.000000000","1686062071.000000000",,,,,,,,,,,,,,,,
"1686062136.8","search source=""/var/log/suricata/eve.json"" src_port=49305",83ab9769e42e,"1686062136.247007",0,"UI:Search",138,1686062136,138,139,completed,"0.382","1685973600.000000000","1685973600.000000000","1686062136.000000000","1686062136.000000000",,,,,,,,,,,,,,,,
"1686062153.9","search source=""/var/log/suricata/eve.json"" src_port=54420",83ab9769e42e,"1686062153.340244",0,"UI:Search",3,1686062153,3,14,completed,"0.202","1685973600.000000000","1685973600.000000000","1686062153.000000000","1686062153.000000000",,,,,,,,,,,,,,,,
